Date,AAPL,MSFT,GOOG,AMZN,NVDA,META,JPM,GS,BAC,JNJ,UNH,PFE,KO,PG,NKE,WMT,XOM,CVX,CAT,HON,UPS,DIS,NFLX,TSLA,COST
2021-04-05,122.626053,238.997528,110.371346,161.336502,13.952333,306.504761,136.078629,286.922119,35.248104,141.919739,339.779419,28.263466,45.500294,120.276894,125.252228,43.515331,46.651279,84.866341,213.145721,186.525940,138.828842,184.163055,54.067001,230.350006,341.606354
2021-04-06,122.927956,237.836472,110.331696,161.190994,13.826651,303.875366,135.121964,290.043701,35.150677,141.884979,334.446594,28.084291,45.827694,120.320969,127.143250,43.724426,46.519169,84.111153,210.345856,186.457886,139.652374,185.364746,54.452999,230.539993,340.943665
2021-04-07,124.574028,239.793915,111.568031,163.969498,14.107943,310.652100,137.239044,289.591400,35.469513,142.076080,335.612305,27.975227,45.905243,120.532516,126.568535,43.630798,46.725594,84.606491,210.136108,185.870956,138.828842,183.244705,54.699001,223.656662,339.703369
2021-04-08,126.970062,243.008469,112.349625,164.964996,14.281005,310.582703,137.407379,293.661926,35.159538,141.520279,334.923950,28.014179,45.767372,120.990883,123.917389,43.602711,46.238434,83.656403,210.199951,187.027863,139.692764,183.010239,55.458000,227.933334,341.985107
2021-04-09,129.541428,245.503311,113.363297,168.610001,14.363793,310.027100,138.434875,293.369232,35.416374,140.026688,345.396912,28.512760,45.819077,120.206352,125.558136,43.624565,46.131096,83.575195,210.446198,193.084595,142.050278,183.567108,55.530998,225.673340,343.869110
2021-04-12,127.827202,245.560928,111.821449,168.969498,15.170764,309.114258,138.142578,294.282715,35.478371,140.365326,345.378571,28.801006,45.965549,120.691200,126.661209,43.630798,45.825588,82.649475,210.610336,194.462723,144.181778,182.199326,55.278000,233.993332,345.383850
2021-04-13,130.934204,248.036575,112.440376,170.000000,15.640080,307.348114,136.494965,290.593475,34.822998,138.489639,343.744720,28.949017,45.741535,119.095734,123.787628,43.496597,45.998978,83.023018,209.169388,194.802979,144.859985,181.222336,55.373001,254.106674,345.762573
2021-04-14,128.596634,245.253845,111.823929,166.649994,15.238593,300.462189,133.943817,297.395447,35.318947,138.871704,344.781830,28.956808,45.732918,119.527649,122.601097,43.480988,47.328339,84.671440,212.115158,195.126221,142.268265,183.147003,54.001999,244.076660,343.831207
2021-04-15,131.002426,249.005753,113.897911,168.954498,16.096682,305.423218,134.794174,300.233246,34.309341,139.279861,357.980988,29.291796,45.948315,120.973259,123.908127,43.743160,47.047607,83.981209,212.060486,195.517532,145.037628,181.652191,54.922001,246.283340,349.161499
2021-04-16,130.671249,250.195572,113.952461,169.972000,15.872495,303.795898,135.795151,303.567688,34.672447,140.886353,358.898895,30.047462,46.249870,120.982063,124.501427,43.883598,46.783382,83.607681,212.826538,197.448563,145.094101,182.951599,54.653999,246.593338,350.979156
2021-04-19,131.333572,248.276443,114.182571,168.600494,15.323129,299.886658,135.219376,304.259430,34.690155,141.277130,357.824982,30.327921,46.525574,120.417915,122.888451,43.602711,46.634773,83.851295,211.941910,196.478775,143.761948,183.117691,55.444000,238.210007,349.871490
2021-04-20,129.648529,247.815857,113.747643,166.734497,15.133110,300.293457,132.225342,294.318207,33.724812,144.568298,363.965576,30.405819,46.672039,121.422821,117.827209,43.939770,45.652199,82.284065,207.600708,193.382401,145.077972,178.584442,54.957001,239.663330,351.935394
2021-04-21,130.028412,250.042084,113.730774,168.100998,15.321883,299.122620,133.350327,297.324524,34.291630,144.663818,366.058258,30.795336,47.051140,120.629463,120.413452,44.067738,46.238434,83.420929,212.005753,196.078949,144.173691,178.897079,50.889999,248.039993,354.169769
2021-04-22,128.508942,246.769943,112.472618,165.451996,14.812917,294.211212,130.542297,293.404694,33.972790,143.439423,363.974640,30.101999,46.904678,119.431870,119.746040,43.590233,45.635689,81.975456,208.749878,195.024155,143.317917,178.555115,50.877998,239.896667,351.490417
2021-04-23,130.827148,250.589005,114.822319,167.044006,15.226871,298.785309,133.040298,300.942780,34.699013,143.734680,367.435120,30.117577,46.930519,118.819771,120.682289,43.662014,45.883389,82.462700,210.811142,190.974960,144.488602,178.809143,50.555000,243.133331,353.402863
